Country,Quartile,Technology & Innovation,Human Capital,Global Trade & Investment,Institutional Framework,Sustainable Resources,Demand Environment
Oyprus,Nascent Q1,5.01,6.44,6.36,6.28,5.33,3.8
Chile,Nascent Q1,4.36,5.32,6.02,6.91,6.87,4.89
Saudi Arabia,Nascent Q1,4.5,5.21,5.41,6.19,5,6.19
Latvia,Nascent Q1,4.54,5.63,5.64,6.42,8.44,3.45
Mauritius,Nascent Q1,5.08,5.15,5.95,6.48,6.21,3.48
Bahrain,Nascent Q1,4.43,5.6,5.96,6.26,4.78,4.16
Oman,Nascent Q1,4.62,5.11,5.81,6.07,3.53,4.19
Brazil,Nascent Q1,4.49,4.42,5.27,4.51,7.55,6.1
Bulgaria,Nascent Q1,4.76,5.07,5.4,4.97,6.89,4.27
South Africa,Nascent Q1,4.49,4.54,5.61,5.03,5.26,5.5
Greece,Nascent Q1,4.1,5.33,5.36,4.89,6.61,4.62
Croatia,Nascent Q1,4.23,4.92,5.54,5.27,8.15,3.54
Viet Nam,Nascent Q1,3.09,4.48,7,4.99,4.59,5.22
Georgia,Nascent Q1,5.02,4.46,5.48,5.95,4.4,3.47
Jordan,Nascent Q1,3.92,5.5,5.15,5.63,4.8,4.17
Costa Rica,Nascent Q2,3.87,5.67,4.19,5.87,6.94,4.23
Panama,Nascent Q2,3.91,4.9,5.6,4.95,7.6,4.26
Indonesia,Nascent Q2,4,4.99,5.06,4.59,4.09,6.38
Uruguay,Nascent Q2,4.46,4.84,3.57,6.36,6.68,3.77
Kazakhstan,Nascent Q2,4.06,5.42,4.88,4.59,4.44,4.87
Azerbaijan,Nascent Q2,4.14,5.23,4.63,4.55,4.86,4.89
Kuwait,Nascent Q2,3.36,4.75,5.59,4.95,4.01,4.78
Serbia,Nascent Q2,3.77,5.03,5.08,4.88,6.23,3.49
Colombia,Nascent Q2,4.01,4.6,3.89,4.6,7.53,4.91
Ukraine,Nascent Q2,3.51,5.79,5.11,3.38,4.59,4.53
Egypt,Nascent Q2,4.21,3.93,4.23,4.3,6.43,5.37
Botswana,Nascent Q2,3.39,4.4,4.37,6.22,5.49,3.23
Armenia,Nascent Q2,3.53,5.07,4.41,4.93,5.85,3.68
Lebanon,Nascent Q2,3.28,5.58,5.47,3.3,5.44,4.2
Tunisa,Nascent Q3,3.96,4.12,4.56,5.01,5.7,3.93
Morocco,Nascent Q3,4.13,3.43,4.69,4.8,4.77,4.7
Sri Lanka,Nascent Q3,3.52,4.51,3.82,4.85,4.59,4.61
Argentina,Nascent Q3,3.78,4.94,3.15,4.16,5.84,4.99
peru,Nascent Q3,3.34,4.24,3.96,4.32,6.27,4.61
Ghana,Nascent Q3,3.31,4.06,3.53,5.03,6.67,4.11
Albania,Nascent Q3,3.4,4.62,3.69,4.7,6.19,3.16
Bosnla and Herzegovlna,Nascent Q3,3.71,4.21,4.77,4.2,4.63,2.87
Dominican Republic,Nascent Q3,3.49,4.29,3.85,4.22,6,3.65
Moldova,Nascent Q3,3.5,4.91,4.48,3.83,5.36,2.69
Paraguay,Nascent Q3,3.02,3.99,4.46,3.7,6.05,3.37
Kenya,Nascent Q3,3.89,3.72,2.52,4.22,6.54,4.18
Mongolia,Nascent Q3,2.96,4.53,4.63,4.49,1.86,2.68
Senegal,Nascent Q3,3.2,3.5,3.45,4.85,4.75,3.32
Guatemala,Nascent Q4,2.89,4.02,3.53,3.2,6.94,4.24
Algeria,Nascent Q4,2.97,3.58,3.28,3.6,5.36,5
Nigeria,Nascent Q4,3.48,3.67,2.37,3.22,6.8,5.28
Bangladesh,Nascent Q4,3.19,3.38,3.05,4,4.73,4.76
Ecuador,Nascent Q4,3.55,4,3.16,3.57,4.69,3.8
Cambodia,Nascent Q4,3.28,3.75,3.96,3.09,4.51,3.93
Honduras,Nascent Q4,2.69,3.73,4.32,3.19,6.76,3.26
Pakistan,Nascent Q4,3.18,3.65,2.72,3.67,2.88,5.37
El SaMador,Nascent Q4,2.64,3.45,4.03,3.63,6.53,3.14
Zambia,Nascent Q4,2.67,3.14,3.17,4.46,6.49,3.49
Kyrgyz Republic,Nascent Q4,2.56,4.15,3.86,3.41,2.89,3.24
Uganda,Nascent Q4,3.19,3.01,1.98,4.55,5.7,3.17
Ethiopia,Nascent Q4,2.57,3.42,1.97,4.27,4.38,4.17
Tanzania,Nascent Q4,2.82,2.85,2.18,4.39,4.93,3.88
Cameroon,Nascent Q4,3.11,3.18,2.58,3.36,4.97,3.63
